"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"歳出総額(百万円)","458391.412","457162.826","458516.308","461457.977","477687.191"
"","","","","",""
"議会費(百万円)","3951.057","3802.786","4971.27","4434.097","4251.0"
"総務費(百万円)","68844.851","61062.318","55665.249","62536.128","67772.859"
"民生費(百万円)","125390.703","139143.281","146697.051","146114.3","148898.794"
"","","","","",""
"衛生費(百万円)","46493.785","42979.209","47099.397","45122.351","45884.727"
"労働費(百万円)","971.344","2444.479","2808.265","1389.045","948.984"
"農林水産業費(百万円)","20303.244","17928.579","15574.808","15714.405","17444.506"
"","","","","",""
"商工費(百万円)","19051.915","8707.257","9603.948","7995.438","7289.715"
"土木費(百万円)","48104.158","51638.289","45067.861","42859.66","51827.019"
"消防費(百万円)","19900.128","17307.318","18782.468","19739.639","22976.506"
"","","","","",""
"教育費(百万円)","43815.525","49678.077","45264.399","43459.183","45403.056"
"災害復旧費(百万円)","1640.517","1438.595","8897.78","13749.185","7255.956"
"公債費(百万円)","59364.062","60857.956","58002.607","58021.018","57726.42"
"","","","","",""
"諸支出金(百万円)","416.461","111.73","81.205","323.528","7.649"
"前年度繰上充用金(百万円)","143.662","62.952","0.0","0.0","0.0"
