"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"  歳出総額(百万円)","458391.412","457162.826","458516.308","461457.977","477687.191"
"","","","","",""
"消費的経費(百万円)","252941.273","247209.33299999998","256979.74300000002","257972.493","264461.19599999994"
"人件費(百万円)","83890.21","81324.858","80838.552","79742.256","77226.661"
"物件費(百万円)","49304.758","50547.552","56362.811","52294.216","53039.846"
"維持補修費(百万円)","4088.352","3943.21","3981.109","4087.118","3890.561"
"扶助費(百万円)","62341.412","76070.619","80301.354","81435.498","82847.642"
"補助費等(百万円)","53316.541","35323.094","35495.917","40413.405","47456.486"
"","","","","",""
"投資的経費(百万円)","78904.252","70113.82","66982.069","69070.853","75870.091"
"普通建設事業費(百万円)","77263.735","68675.225","58084.289","55321.668","68619.361"
"    補助事業費(百万円)","28949.892","29882.922","25464.262","23675.223","30638.1"
"    単独事業費(百万円)","48313.843","38792.303","32620.027","31646.445","37981.261"
"災害復旧事業費(百万円)","1640.517","1438.595","8897.78","13749.185","7250.73"
"失業対策事業費(百万円)","0.0","0.0","0.0","-","0.0"
"","","","","",""
"公債費(百万円)","59363.96","60857.892","58001.925","58020.978","57726.379"
"積立金(百万円)","11035.151","17865.771","11996.312","12794.811","16544.18"
"投資及び出資金･貸付金(百万円)","6129.507","8853.058","11910.432","1487.965","8651.463"
"繰出金(百万円)","49873.607","52200.0","52645.827","53594.534","54433.882"
"前年度繰上充用金(百万円)","143.662","62.952","0.0","0.0","0.0"
